Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion,Ponderacion Valor,Evaluacion de desempeño
02/08/2023,RRRP,100028,AL100028,Salida de almacén,NC01,NCNB,FC,8,286,0.068150584,68150.584,5.918,,,,,0.264722222,RRRPSalida de almacénNC01FCNCNB,30.22035677,1080.377754,0.25744187,0,0,0,0,22.35550892,146.9045121,37.46872225,41.76062907,0,0,0,0,226.1338634,226.1338634,100,Improductivo
03/08/2023,RRRP,100028,AL100028,Salida de almacén,NCL0,NCL0,BR,4,5338,29.697832,29697832,3056.23,,,,,0.023055556,RRRPSalida de almacénNCL0BRNCL0,173.4939759,231527.7108,1288.098737,0,0,0,0,132559.3735,300,300,26620.22718,0,0,0,0,360,4.080294961,100,Productivo
03/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,46,2078,0.41988478,419884.78,121.462,,,,,1.648055556,RRRPSalida de almacénNPN1FANPNF,27.91168043,1260.879825,0.254775865,0,0,0,0,73.7001854,103.2473734,92.55289991,121.2405122,0,0,0,0,317.0407855,256.8623488,100,Productivo
03/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,BR,3,64,0.06635776,66357.76,20.352,,,,,0.363055556,RRRPSalida de almacénNPN1BRNPNF,8.263198164,176.2815608,0.182775774,0,0,0,0,56.05753634,2.410099464,1.836266259,6.993257328,0,0,0,0,11.23962305,2.006034047,100,Improductivo
04/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,70,4184,0.842765087,842765.087,159.246,,,,,1.431388889,RRRPSalida de almacénNPN1FANPNF,48.90355133,2923.035125,0.588774367,0,0,0,0,111.2527848,180.8978589,214.5607948,280.1808003,0,0,0,0,360,360,100,Productivo
05/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,14,1091,0.145781648,145781.648,26.888,,,,,0.460555556,RRRPSalida de almacénNPN1FANPNF,30.39806996,2368.878166,0.316534338,0,0,0,0,58.38166466,112.4447125,173.8837751,150.6295946,0,0,0,0,360,360,100,Productivo
07/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,91,5118,0.947754303,947754.303,250.021,,,,,1.982222222,RRRPSalida de almacénNPN1FANPNF,45.90807175,2581.950673,0.478127171,0,0,0,0,126.1316704,169.817358,189.5240272,227.5269796,0,0,0,0,360,360,100,Productivo
08/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,35,1485,0.322567158,322567.158,53.985,,,,,0.853611111,RRRPSalida de almacénNPN1FANPNF,41.0022779,1739.668077,0.377885379,0,0,0,0,63.24308493,151.6704632,127.6975983,179.8247916,0,0,0,0,360,360,100,Productivo
09/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,43,2954,0.509716233,509716.233,112.237,,,,,0.917222222,RRRPSalida de almacénNPN1FANPNF,46.88067838,3220.59358,0.555717274,0,0,0,0,122.3662023,173.415102,236.402605,264.4498798,0,0,0,0,360,360,100,Productivo
10/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,21,1359,0.19271825,192718.25,47.146,,,,,0.484166667,RRRPSalida de almacénNPN1FANPNF,43.37349398,2806.884682,0.398041136,0,0,0,0,97.37555938,160.4417671,206.0349542,189.4163372,0,0,0,0,360,360,100,Productivo
11/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,62,3371,0.868854502,868854.502,265.711,,,,,1.3525,RRRPSalida de almacénNPN1FANPNF,45.84103512,2492.421442,0.642406286,0,0,0,0,196.4591497,169.5693845,182.9522748,305.7026893,0,0,0,0,360,360,100,Productivo
12/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,47,3763,0.763826537,763826.537,159.195,,,,,1.191111111,RRRPSalida de almacénNPN1FANPNF,39.45895522,3159.235075,0.641272279,0,0,0,0,133.6525187,145.9615983,231.8986805,305.163048,0,0,0,0,360,360,100,Productivo
14/08/2023,RRRP,100028,AL100028,Salida de almacén,NC00,NCFB,NC,25,3828,1.992458756,1992458.756,683.657,,,,,0.856944444,RRRPSalida de almacénNC00NCNCFB,29.17341977,4467.034036,2.325073427,0,0,0,0,797.7845057,136.558763,250.1650866,222.1745553,0,0,0,0,360,171.7865429,100,Productivo
14/08/2023,RRRP,100028,AL100028,Salida de almacén,NC01,NCNA,FC,4,1860,0.75926542,759265.42,305.226,,,,,0.324722222,RRRPSalida de almacénNC01FCNCNA,12.3182207,5727.972626,2.338199754,0,0,0,0,939.960308,107.5738633,131.6918569,162.9928435,0,0,0,0,360,65.09512761,100,Productivo
14/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,20,1975,0.22341043,223410.43,42.544,,,,,0.614166667,RRRPSalida de almacénNPN1FANPNF,32.56445047,3215.739484,0.363761894,0,0,0,0,69.27109905,120.4583145,236.0462978,173.1038312,0,0,0,0,360,123.1183295,100,Productivo
15/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,23,1414,0.321822018,321822.018,103.546,,,,,0.700277778,RRRPSalida de almacénNPN1FANPNF,32.84410948,2019.198731,0.459563374,0,0,0,0,147.8641809,121.4927939,148.2161062,218.693002,0,0,0,0,360,360,100,Productivo
16/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,46,6360,0.58975616,589756.16,112.128,,,,,1.004444444,RRRPSalida de almacénNPN1FANPNF,45.79646018,6331.858407,0.587146619,0,0,0,0,111.6318584,169.4044985,300,279.406202,0,0,0,0,360,360,100,Productivo
18/08/2023,RRRP,100028,AL100028,Salida de almacén,NPN1,NPNF,FA,35,3994,0.476580574,476580.574,94.464,,,,,1.074166667,RRRPSalida de almacénNPN1FANPNF,32.58339798,3718.231187,0.4436747,0,0,0,0,87.9416602,120.5284027,272.9309107,211.132039,0,0,0,0,360,360,100,Productivo
